key_count,unique_keys,dwell_mean,flight_mean,key_rate,mouse_speed_mean,mouse_clicks,eye_aspect_mean,label
7,6,0.1017823219299316,0.8045899470647176,2.333333333333333,861.3439641549769,0,0.0,0
0,0,0.0,0.0,0.0,904.6921387383292,1,0.0,0
11,2,0.2793864770369096,0.3444653272628784,3.6666666666666665,2071.8973602602146,0,0.0,1
0,0,0.0,0.0,0.0,669.8962417065059,1,0.0,0
16,11,0.1408467610677083,0.2425193627675374,5.333333333333333,0.0,0,0.0,0
11,10,0.0784615169871937,0.4542938470840454,3.6666666666666665,0.0,0,0.0,1
0,0,0.0,0.0,0.0,2046.0407044872893,2,0.0,1
7,6,0.1439159597669329,0.3634908994038899,2.333333333333333,0.0,0,0.0,0
0,0,0.0,0.0,0.0,228.202781762225,0,0.0,2
2,2,0.2806506156921386,0.0,0.6666666666666666,532.4927980414691,1,0.0,2
0,0,0.0,0.0,0.0,249.2041345139683,0,0.0,2
0,0,0.0,0.0,0.0,1912.910157684667,0,0.0,1
16,12,0.103914737701416,0.2913586298624674,5.333333333333333,0.0,0,0.0,0
0,0,0.0,0.0,0.0,244.9043446102479,0,0.0,2
16,11,0.1115121394395828,0.233478037516276,5.333333333333333,0.0,0,0.0,0
2,2,0.2062830924987793,0.0,0.6666666666666666,2765.5599137997115,0,0.0,1
0,0,0.0,0.0,0.0,2127.096429953536,3,0.0,1
17,9,0.1751355563893037,0.1953701823949813,5.666666666666667,0.0,0,0.0,2
16,10,0.1208998262882232,0.2438030540943145,5.333333333333333,0.0,0,0.0,0
0,0,0.0,0.0,0.0,464.9607291828397,0,0.0,0
0,0,0.0,0.0,0.0,527.7773000549241,2,0.0,0
